iter,parameter,value
500,alpha,0.015088116948291454
500,Rbasal,0.0012711057392084926
500,litterfall_start,255.78157428754125
501,alpha,0.015088116948291454
501,Rbasal,0.0012711057392084926
501,litterfall_start,256.0298524152884
502,alpha,0.015103722406179439
502,Rbasal,0.0013218898892129762
502,litterfall_start,256.0298524152884
503,alpha,0.015103722406179439
503,Rbasal,0.0013218898892129762
503,litterfall_start,255.93961941203787
504,alpha,0.015103722406179439
504,Rbasal,0.0013218898892129762
504,litterfall_start,255.09747353579127
505,alpha,0.015103722406179439
505,Rbasal,0.0013373401562038006
505,litterfall_start,255.09747353579127
506,alpha,0.015103722406179439
506,Rbasal,0.0013373401562038006
506,litterfall_start,255.09747353579127
507,alpha,0.015103722406179439
507,Rbasal,0.001239913318362361
507,litterfall_start,253.7970355096487
508,alpha,0.015103722406179439
508,Rbasal,0.0013406084909281953
508,litterfall_start,254.33452286697758
509,alpha,0.015103722406179439
509,Rbasal,0.0013239759880254963
509,litterfall_start,254.33452286697758
510,alpha,0.015103722406179439
510,Rbasal,0.0013239759880254963
510,litterfall_start,254.33452286697758
511,alpha,0.015103722406179439
511,Rbasal,0.0013239759880254963
511,litterfall_start,254.33452286697758
512,alpha,0.015103722406179439
512,Rbasal,0.0013239759880254963
512,litterfall_start,254.33452286697758
513,alpha,0.015103722406179439
513,Rbasal,0.0013239759880254963
513,litterfall_start,254.33452286697758
514,alpha,0.015103722406179439
514,Rbasal,0.0013239759880254963
514,litterfall_start,255.7244773973625
515,alpha,0.015103722406179439
515,Rbasal,0.0013114186788817156
515,litterfall_start,257.27161946460905
516,alpha,0.015103722406179439
516,Rbasal,0.0013114186788817156
516,litterfall_start,258.01727377262796
517,alpha,0.015103722406179439
517,Rbasal,0.001297563881080085
517,litterfall_start,257.31034683961917
518,alpha,0.015103722406179439
518,Rbasal,0.001297563881080085
518,litterfall_start,257.1569916183227
519,alpha,0.015103722406179439
519,Rbasal,0.001297563881080085
519,litterfall_start,257.29013621509785
520,alpha,0.015103722406179439
520,Rbasal,0.001297563881080085
520,litterfall_start,257.0469689107868
521,alpha,0.015103722406179439
521,Rbasal,0.001297563881080085
521,litterfall_start,256.5488465211007
522,alpha,0.015103722406179439
522,Rbasal,0.001297563881080085
522,litterfall_start,257.237040454832
523,alpha,0.015103722406179439
523,Rbasal,0.001297563881080085
523,litterfall_start,256.085896494719
524,alpha,0.015103722406179439
524,Rbasal,0.001297563881080085
524,litterfall_start,256.085896494719
525,alpha,0.015103722406179439
525,Rbasal,0.0013346856055527169
525,litterfall_start,256.4731518031532
526,alpha,0.015103722406179439
526,Rbasal,0.0013346856055527169
526,litterfall_start,258.199995762394
527,alpha,0.015103722406179439
527,Rbasal,0.0013346856055527169
527,litterfall_start,258.199995762394
528,alpha,0.015103722406179439
528,Rbasal,0.0013346856055527169
528,litterfall_start,258.199995762394
529,alpha,0.015103722406179439
529,Rbasal,0.0013346856055527169
529,litterfall_start,258.199995762394
530,alpha,0.015103722406179439
530,Rbasal,0.0013346856055527169
530,litterfall_start,257.31013873614467
531,alpha,0.015103722406179439
531,Rbasal,0.0013346856055527169
